,trip_second,km_distance_trip
161,370,2.2
162,1347,15.0
163,536,3.4
164,797,5.3
165,652,4.3
166,335,1.4
167,336,1.1
168,261,1.9
169,1465,5.3
170,1168,4.3
171,362,1.6
172,329,1.8
173,93,0.5
174,331,2.3
175,248,1.9
176,1586,5.2
177,685,5.0
178,502,2.6
179,535,1.9
180,294,0.6
181,194,1.2
182,719,8.4
183,466,3.5
184,750,2.8
185,719,3.1
186,1639,20.0
187,196,0.7
188,786,6.7
189,554,3.2
190,722,2.5
191,542,2.7
192,121,0.5
193,629,2.7
194,982,4.3
195,395,0.9
196,1378,6.4
197,1270,6.0
198,269,1.1
199,747,6.5
200,662,5.3
201,630,5.0
202,1395,6.9
203,1210,7.1
204,641,3.5
205,542,4.1
206,651,5.5
207,905,6.8
208,658,2.6
209,400,2.6
210,1571,5.8
211,869,2.8
212,1745,7.0
213,571,4.0
214,288,1.9
215,766,3.7
216,1901,8.0
217,853,7.1
218,421,2.9
219,369,1.4
220,412,2.8
221,587,3.4
222,1534,5.3
223,957,5.0
224,417,2.9
225,268,2.0
226,1547,5.2
227,1139,5.6
228,758,4.6
229,832,7.1
230,483,3.8
231,685,2.2
232,348,1.8
233,1621,6.1
234,990,8.9
235,138,0.7
236,1061,4.5
237,821,6.4
238,523,2.8
239,1149,4.7
240,590,3.4
241,599,3.4
242,509,2.5
243,817,6.1
244,871,5.5
245,930,4.2
246,353,2.4
247,718,5.1
248,1542,20.0
249,872,7.5
250,415,3.1
251,1550,5.9
252,919,3.7
253,649,3.6
254,593,3.5
255,435,2.7
256,728,5.8
257,991,8.6
258,666,1.2
259,621,3.8
260,338,1.6
261,886,5.3
262,375,2.5
263,1720,5.4
264,876,4.8
265,582,2.7
266,439,3.3
267,650,5.2
268,1210,19.0
269,405,1.8
270,511,4.0
271,316,2.0
272,1066,4.9
273,412,2.9
274,292,0.9
275,1402,5.2
276,796,2.9
277,238,1.6
278,992,4.4
279,452,4.0
280,1127,6.1
281,723,4.0
282,274,1.3
283,288,1.1
284,1076,4.9
285,653,3.7
286,874,5.4
287,1679,17.0
288,929,4.8
289,1619,21.0
290,346,2.4
291,396,2.3
292,497,3.5
293,594,5.4
294,120,0.8
295,1124,10.0
296,735,2.5
297,890,4.0
298,566,2.9
299,637,4.5
300,410,2.4
301,723,5.5
302,283,1.7
303,1964,7.5
304,673,2.8
305,159,1.4
306,809,3.2
307,704,4.5
308,1328,5.2
309,1091,4.8
310,342,1.6
311,596,3.5
312,1193,6.2
313,907,4.0
314,427,2.0
315,786,5.8
316,1517,22.0
317,510,2.3
318,348,2.4
319,1056,7.9
320,1385,4.5
321,1140,8.9
322,514,3.5
323,623,3.0
324,418,3.5
325,276,1.3
326,322,1.7
327,1038,10.0
328,274,2.0
329,290,1.7
330,859,6.4
331,515,3.5
332,627,3.0
333,810,5.5
334,574,3.2
335,968,5.8
336,696,5.5
337,539,4.4
338,359,3.0
339,1551,5.6
340,691,4.4
341,923,4.2
342,613,4.6
343,588,2.7
344,1002,5.1
345,530,3.6
346,223,0.9
347,238,0.8
348,560,4.8
349,1836,9.3
350,767,6.2
351,747,4.6
352,836,7.2
353,288,1.9
354,345,2.4
355,1071,3.9
356,440,1.1
357,1703,9.3
358,776,3.4
359,902,4.3
360,213,0.8
361,590,3.7
362,334,1.6
363,794,4.4
364,1806,5.5
365,888,7.4
366,1005,8.5
367,682,5.2
368,326,1.2
369,704,6.0
370,733,4.8
371,560,4.5
372,1104,6.4
373,620,4.5
374,216,0.5
375,569,3.6
376,1717,6.5
377,793,2.7
378,838,2.6
379,397,2.5
380,1246,5.4
381,1184,6.2
382,191,1.3
383,549,4.3
384,1252,5.2
385,98,0.6
386,867,4.2
387,353,2.0
388,592,2.9
389,602,3.2
390,931,6.4
391,1783,5.4
392,519,2.9
393,291,1.8
394,991,8.6
395,1175,6.2
396,716,3.1
397,731,6.0
398,1121,5.7
399,223,3.6
400,836,5.6
401,629,3.5
402,649,3.1
403,587,3.6
404,868,4.0
405,846,8.0
406,307,1.9
407,271,1.5
408,1816,5.6
409,785,4.4
410,278,3.7
411,531,4.0
412,434,2.5
413,930,3.4
414,1820,6.4
415,1190,5.7
416,542,3.5
417,1455,12.0
418,1655,23.0
419,922,3.2
420,1283,8.3
421,972,4.5
422,329,2.1
423,1157,4.6
424,908,7.3
425,511,4.0
426,423,2.3
427,975,4.2
428,568,3.5
429,1167,5.0
430,95,0.4
431,482,3.2
432,803,5.8
433,262,1.0
434,619,3.4
435,747,6.0
436,881,5.4
437,220,1.3
438,2042,7.3
439,228,1.3
440,284,1.5
441,106,0.6
442,393,1.4
443,971,9.5
444,738,4.0
445,1484,7.6
446,1370,11.0
447,1249,5.6
448,376,2.0
449,443,3.0
450,538,4.0
451,358,2.2
452,570,1.9
453,446,2.0
454,1056,6.4
455,653,3.8
456,949,8.2
457,303,1.8
458,1533,7.2
459,402,2.4
460,483,3.3
461,327,2.5
462,638,5.5
463,1054,10.0
464,422,1.9
465,972,5.0
466,491,2.8
467,576,3.7
468,757,4.1
469,394,2.3
470,748,3.8
471,962,7.0
472,390,2.2
473,1303,7.8
474,2060,8.4
475,700,4.7
476,775,3.5
477,1138,7.5
478,608,5.1
479,941,7.3
480,722,2.7
481,177,1.2
482,2101,7.9
483,663,5.2
484,1083,10.0
485,891,2.9
486,1056,6.0
487,384,1.8
488,414,2.1
489,1084,4.9
490,627,3.1
491,1202,6.3
492,657,3.9
493,343,1.6
494,863,5.1
495,575,6.8
496,587,3.2
497,400,2.9
498,251,1.6
499,1899,9.1
500,1257,5.2
501,351,2.6
502,193,0.9
503,908,7.3
504,1048,4.7
505,892,2.8
506,280,1.7
507,1016,5.9
508,307,1.9
509,620,3.0
510,1017,3.9
511,1611,8.8
512,1227,5.6
513,713,6.3
514,2107,8.4
515,696,3.8
516,447,2.1
517,402,2.8
518,770,2.7
519,262,1.7
520,207,1.1
521,894,6.8
522,344,1.8
523,888,7.4
524,344,1.7
525,976,5.9
526,859,5.4
527,308,1.6
528,419,2.3
529,739,6.2
530,946,4.5
531,658,2.1
532,707,5.7
533,777,3.4
534,730,3.5
535,99,0.5
536,330,1.4
537,280,0.8
538,847,3.4
539,1188,16.0
540,720,6.0
541,818,6.9
542,491,2.1
543,581,4.1
544,272,2.4
545,1006,5.1
546,723,6.1
547,322,2.2
548,1053,6.7
549,445,2.4
550,943,3.2
551,502,2.7
552,1004,3.6
553,273,0.9
554,841,4.5
555,273,1.9
556,447,2.1
557,1014,5.5
558,846,2.1
559,1019,4.5
560,93,0.6
561,910,4.1
562,385,2.5
563,1172,9.6
564,273,1.1
565,483,2.4
566,533,3.8
567,324,1.3
568,376,2.6
569,312,2.0
570,475,2.3
571,1900,6.0
572,93,0.7
573,791,3.0
574,452,2.7
575,349,2.4
576,702,3.3
577,938,5.4
578,707,3.7
579,1088,4.3
580,610,4.4
581,582,5.3
582,921,7.1
583,1159,5.4
584,1720,8.2
585,364,2.7
586,395,1.7
587,982,5.5
588,467,3.0
589,1678,5.6
590,1106,5.3
591,297,1.2
592,221,1.6
593,489,3.4
594,269,1.4
595,326,1.7
596,532,2.7
597,559,3.8
598,1037,5.0
599,757,6.5
600,786,3.7
601,657,4.1
602,474,3.0
603,349,1.8
604,733,5.5
605,1245,6.1
606,210,0.7
607,392,2.6
608,651,2.7
609,1299,5.0
610,620,2.1
611,868,4.3
612,142,0.9
613,396,2.2
614,106,0.3
615,743,6.2
616,1007,9.7
617,329,1.8
618,201,0.8
619,234,2.0
620,863,6.8
621,228,2.1
622,785,3.9
623,1015,5.6
624,421,2.6
625,483,2.5
626,271,1.3
627,570,1.5
628,292,1.4
629,412,2.2
630,44,0.3
631,706,3.0
632,1048,4.8
633,1101,6.0
634,867,7.2
635,1315,6.3
636,869,3.2
637,502,5.4
638,1087,4.8
639,1663,5.6
640,561,2.1
641,324,2.2
642,604,4.2
643,519,3.2
644,277,1.8
645,866,7.6
646,855,2.4
647,730,3.7
648,424,2.9
649,469,4.2
650,282,1.1
651,323,1.7
652,638,5.1
653,1046,5.9
654,801,4.5
655,636,6.1
656,240,1.4
657,225,0.7
658,630,1.9
659,372,2.4
660,263,0.9
661,1755,6.7
662,878,5.3
663,460,5.1
664,284,1.8
665,246,1.7
666,469,2.2
667,249,0.9
668,804,5.4
669,351,2.2
670,760,6.4
671,1170,2.2
672,862,6.9
673,724,4.0
674,897,4.3
675,682,4.2
676,449,2.6
677,218,1.0
678,1064,5.4
679,555,4.2
680,669,5.2
681,442,2.9
682,284,1.6
683,893,5.4
684,455,2.4
685,287,1.3
686,155,0.8
687,409,1.5
688,295,1.9
689,971,7.7
690,272,1.7
691,503,2.8
692,678,4.9
693,1461,6.5
694,1822,5.6
695,1209,6.0
696,653,3.3
697,246,1.4
698,899,4.6
699,869,5.6
700,648,3.8
701,400,2.7
702,420,3.2
703,299,1.7
704,436,2.0
705,174,0.7
706,298,1.8
707,824,3.7
708,364,2.1
709,615,3.7
710,849,3.0
711,781,2.6
712,910,9.5
713,614,4.7
714,1388,7.1
715,861,6.9
716,514,7.5
717,408,2.8
718,609,6.3
719,634,5.6
720,802,6.4
721,576,2.4
722,147,0.7
723,245,1.3
724,484,2.9
725,1281,5.3
726,402,2.0
727,606,4.3
728,921,3.8
729,822,3.6
730,807,5.1
731,357,2.2
732,1534,22.0
733,935,8.2
734,758,3.8
735,484,3.8
736,316,1.0
737,1149,4.9
738,906,5.0
739,1455,12.0
740,534,2.7
741,585,1.4
742,652,7.4
743,381,1.4
744,683,2.8
745,379,2.5
746,729,2.5
747,529,3.1
748,315,2.4
749,572,2.8
750,820,2.9
751,526,2.8
752,868,4.5
753,378,2.0
754,313,0.9
755,588,4.6
756,1112,4.2
757,1384,9.4
758,607,5.0
759,480,1.7
760,776,8.0
761,404,2.5
762,471,2.6
763,510,3.3
764,258,1.0
765,332,2.5
766,821,3.6
767,210,1.2
768,389,3.0
769,599,4.9
770,434,3.0
771,243,0.8
772,293,1.3
773,723,3.9
774,1691,6.6
775,440,2.8
776,900,3.3
777,832,2.6
778,369,2.4
779,786,2.3
780,230,0.7
781,872,3.2
782,764,3.2
783,410,1.9
784,1213,5.1
785,460,3.7
786,1038,7.6
787,1525,21.0
788,1223,5.3
789,193,1.4
790,371,2.7
791,1674,6.9
792,1066,8.3
793,1075,6.2
794,779,3.3
795,551,2.9
796,888,2.6
797,653,4.5
798,1971,12.0
799,453,2.7
800,493,2.7
801,1644,5.7
802,425,2.5
803,882,3.0
804,264,1.4
805,443,2.9
806,434,2.7
807,1746,6.8
808,1396,6.1
809,1493,8.7
810,563,7.0
811,291,1.8
812,505,3.7
813,283,1.3
814,1022,5.2
815,402,2.1
816,622,2.0
817,946,7.6
818,363,2.3
819,391,2.4
820,428,2.3
821,136,1.1
822,714,8.2
823,1156,4.7
824,600,5.8
825,600,5.0
826,1016,5.1
827,431,2.6
828,525,3.8
829,1438,4.7
830,476,2.7
831,1608,7.5
832,363,2.5
833,589,5.8
834,422,1.6
835,1079,5.6
836,729,4.4
837,557,3.3
838,949,5.5
839,584,2.9
840,412,2.8
841,497,3.9
842,499,3.0
843,424,3.4
844,1213,15.0
845,515,3.0
846,418,1.1
847,651,5.2
848,1119,5.8
849,804,9.4
850,787,6.3
851,858,4.5
852,763,2.6
853,614,2.8
854,1077,4.7
855,362,2.4
856,449,2.0
857,1047,3.8
858,867,6.4
859,1014,4.9
860,231,1.1
861,638,3.3
862,465,3.7
863,275,0.9
864,157,1.1
865,295,1.7
866,541,3.9
867,853,2.6
868,1160,6.1
869,366,1.8
870,735,6.1
871,1520,6.3
872,724,6.3
873,605,4.7
874,262,1.1
875,1982,19.0
876,527,3.3
877,563,4.1
878,252,1.2
879,1065,5.6
880,496,1.4
881,358,2.4
882,752,5.7
883,330,2.0
884,1192,8.2
885,1531,6.9
886,818,4.2
887,517,3.4
888,460,2.1
889,510,3.5
890,857,3.2
891,435,3.6
892,316,1.9
893,617,5.5
894,1532,5.2
895,924,7.4
896,1151,7.0
897,563,3.3
898,314,1.9
899,1180,6.7
900,196,0.9
901,805,3.8
902,804,4.5
903,240,1.3
904,442,2.7
905,379,3.7
906,722,5.5
907,776,3.4
908,635,2.4
909,649,6.1
910,549,3.9
911,576,3.4
912,407,2.9
913,839,6.7
914,1961,6.7
915,562,4.0
916,1589,6.0
917,979,3.8
918,445,2.9
919,418,2.9
920,874,6.4
921,931,12.0
922,529,2.2
923,1469,19.0
924,1878,5.7
925,952,4.9
926,884,5.3
927,632,5.0
928,897,6.5
929,455,1.0
930,442,2.3
931,1222,5.5
932,539,3.8
933,354,2.2
934,1480,12.0
935,973,3.7
936,1663,17.0
937,739,6.3
938,760,5.7
939,363,1.1
940,368,2.9
941,1045,4.5
942,260,1.4
943,424,2.5
944,236,1.7
945,275,1.1
946,484,1.7
947,700,3.3
948,801,5.3
949,150,1.0
950,247,1.5
951,1058,7.9
952,699,3.9
953,317,1.7
954,893,1.8
955,898,4.3
956,1335,6.9
957,481,3.5
958,949,5.1
959,1628,7.1
960,477,2.1
961,474,3.1
962,333,1.9
963,729,3.4
964,1103,8.5
965,718,3.1
966,238,1.6
967,416,3.4
968,530,3.8
969,365,1.8
970,749,6.1
971,836,6.9
972,1322,12.0
973,556,2.7
974,415,3.0
975,508,3.3
976,316,2.2
977,680,5.3
978,593,3.2
979,278,1.3
980,180,0.5
981,966,4.1
982,1023,5.2
983,799,7.8
984,536,2.7
985,291,1.8
986,930,4.8
987,806,8.5
988,716,5.2
989,1322,5.6
990,334,0.9
991,622,5.0
992,707,6.0
993,1037,5.3
994,381,1.9
995,621,3.4
996,641,2.4
997,1073,5.1
998,1697,5.6
999,869,3.2
1000,375,2.4
1001,373,1.3
1002,1239,4.7
1003,1057,5.4
1004,531,3.2
1005,448,2.8
1006,915,4.1
1007,220,1.2
1008,609,3.0
1009,1569,6.1
1010,748,6.2
1011,927,3.3
1012,798,3.3
1013,432,1.9
1014,475,2.6
1015,1052,4.3
1016,802,4.5
1017,637,4.8
1018,910,6.2
1019,798,5.7
1020,492,2.6
1021,740,2.5
1022,910,4.9
1023,1185,6.0
1024,459,3.2
1025,264,1.6
1026,1102,4.0
1027,1407,6.7
1028,785,6.6
1029,385,1.7
1030,1122,7.9
1031,420,2.1
1032,1045,5.9
1033,863,4.1
1034,729,4.5
1035,1827,7.1
1036,865,5.2
1037,1180,14.0
1038,1054,9.9
1039,1010,6.0
1040,754,6.5
1041,479,4.0
1042,219,1.4
1043,1042,4.0
1044,198,1.5
1045,628,3.9
1046,213,1.3
1047,615,4.7
1048,799,5.9
1049,711,2.9
1050,748,6.3
1051,883,3.6
1052,319,2.5
1053,399,2.5
1054,930,8.5
1055,180,0.8
1056,270,2.1
1057,630,6.6
1058,442,2.7
1059,288,1.4
1060,733,3.8
1061,929,4.8
1062,980,4.4
1063,400,1.4
1064,968,3.8
1065,331,1.4
1066,287,1.1
1067,423,3.2
1068,252,1.5
1069,615,4.9
1070,370,2.0
1071,179,0.7
1072,408,2.5
1073,454,1.5
1074,796,5.9
1075,596,3.7
1076,729,4.2
1077,900,4.3
1078,842,3.2
1079,615,3.0
1080,789,4.5
1081,1034,4.0
1082,390,2.5
1083,530,7.5
1084,528,4.1
1085,131,0.5
1086,616,5.5
1087,456,3.0
1088,148,0.8
1089,1121,5.0
1090,883,4.5
1091,295,1.6
1092,1656,6.2
1093,1093,3.6
1094,319,2.6
1095,1714,23.0
1096,901,3.5
1097,380,2.5
1098,885,5.4
1099,1083,10.0
1100,422,2.4
1101,747,5.6
1102,1833,6.4
1103,343,1.9
1104,541,2.9
1105,1744,22.0
1106,996,8.9
1107,1362,6.1
1108,336,2.2
1109,342,2.4
1110,834,3.7
1111,785,3.0
1112,488,2.6
1113,621,2.2
1114,1691,5.5
1115,935,4.7
1116,127,0.7
1117,563,4.9
1118,888,5.4
1119,363,1.7
1120,1000,4.4
1121,639,2.9
1122,1223,6.0
1123,216,0.9
1124,856,4.8
1125,122,0.8
1126,825,5.2
1127,710,5.6
1128,1007,4.8
1129,1368,19.0
1130,813,2.5
1131,1529,4.8
1132,530,3.9
1133,555,3.2
1134,501,3.4
1135,558,3.9
1136,665,3.8
1137,385,1.6
1138,424,3.1
1139,1223,5.1
1140,763,6.7
1141,1004,7.0
1142,998,5.8
1143,511,3.4
1144,1155,5.1
1145,1863,8.1
1146,316,1.7
1147,316,1.7
1148,543,3.1
1149,449,2.6
1150,777,3.8
1151,298,1.7
1152,637,4.0
1153,408,2.5
1154,981,5.9
1155,1019,5.2
1156,1185,4.4
1157,428,2.8
1158,562,3.0
1159,547,3.1
1160,786,3.0
1161,1671,5.7
1162,335,2.6
1163,295,1.4
1164,991,6.5
1165,1111,13.0
1166,648,2.3
1167,809,2.9
1168,285,1.9
1169,900,2.9
1170,936,4.8
1171,759,4.1
1172,740,6.6
1173,339,1.5
1174,260,1.4
1175,967,3.0
1176,1434,6.3
1177,617,5.1
1178,950,8.7
1179,872,4.0
1180,371,2.9
1181,635,3.4
1182,234,1.0
1183,581,4.1
1184,988,4.7
1185,990,8.8
1186,581,4.5
1187,297,1.8
1188,627,3.4
1189,323,1.7
1190,1477,5.8
1191,703,3.5
1192,815,5.8
1193,467,3.0
1194,1368,8.0
1195,499,3.6
1196,975,5.8
1197,1049,3.5
1198,640,2.2
1199,89,0.6
1200,1909,8.2
1201,1279,13.0
1202,369,2.4
1203,675,3.5
1204,629,2.3
1205,506,5.0
1206,1757,6.4
1207,586,5.4
1208,1204,6.0
1209,545,3.9
1210,953,6.0
1211,487,3.0
1212,984,5.9
1213,752,6.3
1214,705,2.3
1215,814,6.4
1216,1001,3.5
1217,365,2.4
1218,261,3.7
1219,982,5.8
1220,190,0.7
1221,636,5.3
1222,425,2.1
1223,566,2.9
1224,431,3.2
1225,387,2.6
1226,774,4.3
1227,598,2.9
1228,821,8.9
1229,903,7.4
1230,553,3.0
1231,1349,5.4
1232,638,3.5
1233,1666,6.5
1234,646,3.8
1235,1342,14.0
1236,909,4.4
1237,330,2.6
1238,699,5.6
1239,286,1.8
1240,515,2.1
1241,392,2.6
1242,319,1.6
1243,1018,4.6
1244,707,5.7
1245,588,6.2
1246,453,2.0
1247,839,4.2
1248,862,6.6
1249,1686,5.4
1250,1363,5.5
1251,424,7.5
1252,277,1.1
1253,580,1.9
1254,595,3.3
1255,594,5.9
1256,644,3.7
1257,981,9.7
1258,360,2.8
1259,734,2.4
1260,1663,6.2
1261,317,2.0
1262,775,6.9
1263,982,3.9
1264,723,5.9
1265,635,4.1
1266,909,5.1
1267,838,8.5
1268,292,2.0
1269,728,6.4
1270,641,5.4
1271,883,8.9
1272,805,3.4
1273,904,7.3
1274,584,3.6
1275,924,5.4
1276,681,5.7
1277,911,5.2
1278,690,3.7
1279,1827,6.0
1280,1031,6.8
1281,800,6.2
1282,1040,8.7
1283,519,3.0
1284,892,6.7
1285,673,5.0
1286,615,2.1
1287,777,5.9
1288,414,2.6
1289,689,5.4
1290,781,3.0
1291,343,2.5
1292,1374,11.0
1293,352,2.4
1294,174,0.9
1295,540,5.1
1296,1703,14.0
1297,817,3.0
1298,355,1.6
1299,779,7.8
1300,339,1.5
1301,1634,5.5
1302,846,6.5
1303,814,2.0
1304,756,6.4
1305,397,2.0
1306,553,3.2
1307,297,1.8
1308,463,4.1
1309,1125,5.6
1310,1410,6.5
1311,894,4.8
1312,296,2.0
1313,844,4.1
1314,700,2.8
1315,911,3.9
1316,492,2.7
1317,292,0.9
1318,500,3.0
1319,107,0.6
1320,1218,4.6
1321,1383,7.3
1322,849,5.3
1323,1015,6.7
1324,1169,4.6
1325,1091,7.3
1326,518,3.0
1327,508,3.7
1328,91,0.5
1329,666,3.8
1330,979,5.3
1331,288,1.6
1332,1710,5.9
1333,354,2.1
1334,792,5.9
1335,781,8.6
1336,1216,6.2
1337,753,7.1
1338,835,5.8
1339,605,4.3
1340,966,5.0
1341,1204,6.2
1342,633,5.4
1343,398,3.3
1344,781,3.7
1345,1124,5.5
1346,421,1.9
1347,971,4.8
1348,332,2.2
1349,486,2.4
1350,669,3.4
1351,1002,6.0
1352,451,1.1
1353,960,4.2
1354,506,1.1
1355,801,3.7
1356,1009,4.0
1357,140,0.5
1358,634,4.7
1359,1017,5.4
1360,420,0.9
1361,1044,6.4
1362,849,2.9
1363,297,1.7
1364,809,2.6
1365,385,2.9
1366,604,3.2
1367,476,2.5
1368,754,7.1
1369,371,2.4
1370,1464,12.0
1371,295,1.5
1372,954,5.6
1373,1281,5.1
1374,295,2.1
1375,246,1.3
1376,726,5.6
1377,831,3.1
1378,668,2.5
1379,276,1.7
1380,266,1.3
1381,251,1.2
1382,421,2.9
1383,586,3.4
1384,700,3.4
1385,977,5.8
1386,385,2.2
1387,870,7.8
1388,1390,5.0
1389,740,3.4
1390,338,2.6
1391,418,2.5
1392,509,3.0
1393,292,1.9
1394,712,2.7
1395,160,0.9
1396,342,2.1
1397,219,1.3
1398,700,5.6
1399,1129,5.9
1400,508,2.7
1401,572,2.7
1402,449,3.2
1403,1252,4.5
1404,1027,4.3
1405,1818,9.8
1406,432,2.7
1407,275,1.9
1408,512,2.5
1409,287,1.5
1410,1117,5.5
1411,359,0.9
1412,975,4.6
1413,909,7.7
1414,1602,6.5
1415,479,3.3
1416,832,3.9
1417,295,1.8
1418,842,6.0
1419,931,7.5
1420,144,0.7
1421,1275,5.3
1422,550,3.3
1423,280,1.0
1424,740,6.0
1425,806,4.8
1426,370,1.9
1427,1374,9.7
1428,505,3.9
1429,791,7.7
1430,1099,4.3
1431,410,2.5
1432,428,2.6
1433,1057,5.4
1434,831,8.0
1435,559,3.1
1436,793,2.8
1437,385,2.5
1438,576,1.9
1439,854,5.4
1440,953,3.6
1441,44,0.3
1442,699,3.0
1443,324,1.6
1444,1312,5.7
1445,826,4.8
1446,1833,6.0
1447,1594,6.6
1448,375,4.3
1449,938,4.9
1450,615,2.5
1451,840,6.4
1452,585,3.6
1453,567,4.1
1454,833,3.6
1455,723,5.2
1456,1608,22.0
1457,1172,5.8
1458,383,2.3
1459,1200,4.4
1460,593,1.3
1461,632,4.9
1462,429,2.0
1463,277,1.8
1464,1599,6.0
1465,880,2.7
1466,645,5.2
1467,353,1.5
1468,787,3.8
1469,706,3.7
1470,297,1.8
1471,768,2.9
1472,2494,13.0
1473,1014,5.2
1474,462,2.7
1475,556,2.8
1476,1447,11.0
1477,568,4.8
1478,242,1.9
1479,383,2.4
1480,697,5.9
1481,271,1.4
1482,794,4.6
1483,279,4.0
1484,441,2.0
1485,544,1.8
1486,1404,6.6
1487,901,7.8
1488,1380,7.8
1489,542,4.1
1490,986,3.6
1491,1428,5.1
1492,746,5.8
1493,841,3.7
1494,367,2.0
1495,1068,9.1
1496,859,3.9
1497,994,8.1
1498,1697,6.1
1499,518,4.2
1500,776,4.4
1501,732,5.3
1502,446,2.6
1503,400,2.7
1504,998,9.6
1505,389,2.2
1506,862,3.8
1507,1754,5.4
1508,963,5.8
1509,366,2.1
1510,719,7.3
1511,348,0.9
1512,260,1.0
1513,1304,6.2
1514,1050,3.4
1515,923,6.7
1516,1437,5.6
1517,808,4.0
1518,494,2.8
1519,953,3.7
1520,809,5.4
1521,1232,12.0
1522,497,2.3
1523,551,4.5
1524,1167,4.2
1525,1778,6.4
1526,229,1.3
1527,1055,9.9
1528,414,3.2
1529,779,4.9
1530,452,2.8
1531,668,3.4
1532,704,5.0
1533,236,1.6
1534,839,4.0
1535,832,3.1
1536,585,2.0
1537,1189,5.8
1538,926,2.6
1539,1147,5.3
1540,237,1.3
1541,216,1.3
1542,354,2.0
1543,634,8.7
1544,663,4.2
1545,567,4.4
1546,514,1.9
1547,631,3.5
1548,423,4.1
1549,452,3.4
1550,982,3.6
1551,886,3.8
1552,413,1.6
1553,1510,6.8
1554,243,1.7
1555,876,5.0
1556,704,5.9
1557,1021,5.1
1558,718,4.2
1559,409,1.9
1560,754,5.6
1561,1122,7.6
1562,370,1.3
1563,398,2.6
1564,409,1.5
1565,570,2.4
1566,1085,4.2
1567,297,1.2
1568,943,7.6
1569,761,6.1
1570,519,2.0
1571,571,3.9
1572,281,1.4
1573,1127,5.4
1574,293,1.0
1575,425,2.8
1576,320,1.1
1577,1129,9.6
1578,1809,6.1
1579,902,4.0
1580,751,3.5
1581,508,3.9
1582,494,4.0
1583,444,2.5
1584,1134,13.0
1585,844,4.8
1586,653,4.9
1587,386,1.8
1588,429,2.8
1589,609,2.2
1590,816,7.3
1591,380,2.0
1592,579,3.3
1593,617,5.0
1594,429,3.6
1595,469,2.6
1596,1127,10.0
1597,332,3.2
1598,1543,6.4
1599,539,3.7
1600,1578,8.2
1601,428,1.9
1602,680,2.3
1603,562,4.7
1604,452,2.3
1605,892,2.5
1606,339,2.6
1607,690,2.5
1608,757,3.3
1609,1142,3.6
1610,469,3.0
1611,662,2.8
1612,898,8.4
1613,882,1.9
1614,761,6.2
1615,1202,4.6
1616,837,4.2
1617,272,1.4
1618,182,0.8
1619,731,1.9
1620,671,4.9
1621,683,3.6
1622,382,2.5
1623,350,2.1
1624,521,3.2
1625,521,3.3
